단어,뜻,영어 예문,예문 해석
apple,사과,I ate a fresh apple this morning.,나는 오늘 아침에 신선한 사과를 먹었다.
banana,바나나,He likes to eat a banana after working out.,그는 운동 후에 바나나를 먹는 것을 좋아한다.
cat,고양이,The cat is sleeping on the warm sofa.,고양이가 따뜻한 소파 위에서 잠을 자고 있다.
dog,개,She walks her dog in the park every evening.,그녀는 매일 저녁 공원에서 개를 산책시킨다.
house,집,They built a beautiful house near the river.,그들은 강 근처에 아름다운 집을 지었다.
car,자동차,My father bought a new electric car last week.,우리 아버지는 지난주에 새 전기차를 사셨다.
book,책,Reading a book before bed helps me relax.,자기 전에 책을 읽는 것은 내가 휴식을 취하도록 도와준다.
computer,컴퓨터,I use my computer for coding and writing articles.,나는 코딩과 글쓰기를 위해 컴퓨터를 사용한다.
phone,전화기,Don't look at your phone while driving.,운전 중에는 스마트폰을 보지 마세요.
water,물,You should drink plenty of water every day.,여러분은 매일 충분한 양의 물을 마셔야 합니다.
friend,친구,A true friend will always support you.,진정한 친구는 항상 당신을 지지해 줄 것이다.
family,가족,We had a great dinner with our family.,우리는 가족과 함께 훌륭한 저녁 식사를 했다.
school,학교,Students learn various subjects at school.,학생들은 학교에서 다양한 과목을 배운다.
teacher,선생님,Our English teacher explains grammar very clearly.,우리 영어 선생님은 문법을 매우 명확하게 설명해 주신다.
student,학생,The university student is preparing for the exam., 그 대학생은 시험을 준비하고 있다.
coffee,커피,I can't start my day without a cup of coffee.,나는 커피 한 잔 없이는 하루를 시작할 수 없다.
breakfast,아침식사,Skipping breakfast can make you tired during the day.,아침 식사를 거르면 낮 동안 피곤해질 수 있다.
lunch,점심식사,Let's meet at the restaurant for lunch.,점심 식사를 위해 식당에서 만납시다.
dinner,저녁식사,She cooked a delicious dinner for her guests.,그녀는 손님들을 위해 맛있는 저녁 식사를 요리했다.
time,시간,Time flies when you are having fun.,즐거운 시간을 보낼 때는 시간이 화살처럼 흘러간다.
money,돈,Money cannot buy happiness, but it helps.,돈으로 행복을 살 수는 없지만 도움이 된다.
job,직업,He is looking for a job in the software industry.,그는 소프트웨어 업계에서 일자리를 찾고 있다.
office,사무실,Our office is located in the center of Seoul.,우리 사무실은 서울 중심부에 위치해 있다.
desk,책상,There are many papers scattered on his desk.,그의 책상 위에 많은 서류들이 흩어져 있다.
chair,의자,Please take a seat on this comfortable chair.,이 편안한 의자에 앉으세요.
window,창문,Could you please open the window for some fresh air?,신선한 공기를 위해 창문을 좀 열어주시겠어요?
door,문,Remember to lock the door when you leave.,나갈 때 문을 잠그는 것을 기억하세요.
city,도시,New York is one of the busiest cities in the world.,뉴욕은 세계에서 가장 바쁜 도시 중 하나이다.
country,나라,I want to travel to a foreign country this summer.,나는 이번 여름에 외국으로 여행을 가고 싶다.
music,음악,Listening to classical music helps me study.,클래식 음악을 듣는 것은 내가 공부하는 데 도움이 된다.
movie,영화,We watched an exciting action movie last night.,우리는 어젯밤에 흥미진진한 액션 영화를 보았다.
game,게임,Playing video games is a popular hobby among teenagers.,비디오 게임을 하는 것은 10대들 사이에서 인기 있는 취미이다.
sport,스포츠,Soccer is the most popular sport in the world.,축구는 세계에서 가장 인기 있는 스포츠이다.
health,건강,Regular exercise is essential for maintaining good health.,규칙적인 운동은 좋은 건강을 유지하는 데 필수적이다.
doctor,의사,You should see a doctor if your fever doesn't go down.,열이 내리지 않으면 의사의 진찰을 받아야 합니다.
hospital,병원,The injured man was taken to the nearest hospital.,부상당한 남자는 가장 가까운 병원으로 이송되었다.
weather,날씨,The weather is perfect for a picnic today.,오늘 날씨는 소풍 가기에 완벽하다.
sun,태양,The sun rises in the east and sets in the west.,태양은 동쪽에서 떠서 서쪽으로 진다.
moon,달,The full moon looks beautiful tonight.,오늘 밤은 보름달이 아름답게 보인다.
rain,비,We couldn't go out because of the heavy rain.,우리는 폭우 때문에 밖에 나갈 수 없었다.
snow,눈,Children love to play in the fresh snow.,아이들은 새로 내린 눈 속에서 노는 것을 좋아한다.
tree,나무,Birds are singing on the tall oak tree.,새들이 높은 오크 나무 위에서 노래하고 있다.
flower,꽃,Spring is the season when flowers bloom.,봄은 꽃이 피는 계절이다.
sea,바다,They enjoyed swimming in the deep blue sea.,그들은 깊고 푸른 바다에서 수영하는 것을 즐겼다.
river,강,The river flows through the heart of the valley.,그 강은 계곡의 중심부를 가로질러 흐른다.
mountain,산,Hiking up the mountain is challenging but rewarding.,산을 등반하는 것은 힘들지만 보람차다.
sky,하늘,The sky is clear and bright without any clouds.,하늘은 구름 한 점 없이 맑고 밝다.
star,별,We can see thousands of stars in the countryside.,시골에서는 수천 개의 별을 볼 수 있다.
air,공기,We need clean air to breathe and stay healthy.,우리는 숨을 쉬고 건강을 유지하기 위해 깨끗한 공기가 필요하다.
food,음식,Korean food is famous for being healthy and spicy.,한국 음식은 건강하고 매운 것으로 유명하다.
fruit
